Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2016-12-26,0.995632118,0.990516333
2016-12-27,1.010373104,1.008680851
2016-12-28,1.004707219,1.001307796
2016-12-29,1.015549901,1.015546661
2016-12-30,1.004295259,1.000829738
2017-01-02,0.96396325,0.992455646
2017-01-03,0.997452962,0.993985465
2017-01-04,0.998434926,0.99630221
2017-01-05,1.004207574,1.000590468
2017-01-06,1.004231022,1.00628056
2017-01-09,1.000981716,1.001298538
2017-01-10,0.994851048,1.016022423
2017-01-11,1.010515506,1.016181496
2017-01-12,0.992723873,1.000810373
2017-01-13,1.021619851,0.997975709
2017-01-16,1.00753507,1.012292089
2017-01-17,0.991168749,0.992666212
2017-01-18,1.002608765,1.003310456
2017-01-19,0.994675954,0.994929986
2017-01-20,0.995895042,1.000040443
2017-01-23,1.018144347,1.006713309
2017-01-24,1.016669974,1.018398747
2017-01-25,1.044231895,1.018184687
2017-01-27,1.027142216,1.001007283
2017-01-30,0.99868967,0.994620327
2017-01-31,0.995590058,1.001323009
2017-02-01,1.033861698,1.014805891
2017-02-02,0.992351816,0.994638891
2017-02-03,0.997252551,1.00950951
2017-02-06,1.002039429,1.00232638
2017-02-07,1.004963222,0.994711209
2017-02-08,0.995629774,0.998852465
2017-02-09,0.997002355,0.993872784
2017-02-10,0.994022478,1.004585212
2017-02-13,1.002520615,1.005062903
2017-02-14,1.004382027,1.000686918
2017-02-15,1.000715231,1.008466173
2017-02-16,0.99599757,1.004310997
2017-02-17,1.006422446,1.037013329
2017-02-20,0.993440285,1.023274391
2017-02-21,1.013744348,1.00457739
2017-02-22,0.98700839,0.988414397
2017-02-23,0.993974607,0.99653361
2017-02-27,0.992783431,0.999497956
2017-02-28,0.995893,0.997488519
2017-03-01,1.022261961,1.001115028
2017-03-02,0.998893292,0.991700499
2017-03-03,0.980128663,0.997753786
2017-03-06,0.996171237,1.002723312
2017-03-07,0.99959735,1.00394713
2017-03-08,1.001684488,1.00432838
2017-03-09,1.002778387,1.001436575
2017-03-10,1.001676996,1.004231818
2017-03-14,1.036650167,1.007570888
2017-03-15,1.001369238,1.004182321
2017-03-16,1.016934296,1.000529437
2017-03-17,1.000655059,1.005997107
2017-03-20,1.004513506,1.007188694
2017-03-21,1.000445893,1.003377202
2017-03-22,0.988960505,0.993025435
2017-03-23,1.009949386,1
2017-03-24,1.004084715,0.995422461
2017-03-27,1.008272939,0.989819918
2017-03-28,1.019936258,1.007341207
2017-03-29,1.011934047,1.00591466
2017-03-30,0.998620282,1.026319474
2017-03-31,0.988256193,0.983869868
2017-04-03,1.021003928,0.993518422
2017-04-05,0.971636293,0.999406922
2017-04-06,0.994933396,1.004293643
2017-04-07,1.001450155,1.000243309
2017-04-10,0.988381882,0.996733502
2017-04-11,1.00637138,1.003730433
2017-04-12,0.993093408,1.00291768
2017-04-13,1.005625064,0.99764494
2017-04-17,1.003152756,0.997569951
2017-04-18,1.000337941,1.007307906
2017-04-19,1.006857876,1.001174601
2017-04-20,1.018051268,1.009075224
2017-04-21,0.99363918,1.023561194
2017-04-24,1.015423397,1.024355205
2017-04-25,1.011563337,1.002609178
2017-04-26,1.024283131,1.008848118
2017-04-27,0.987704918,1.011575791
2017-04-28,0.981263964,0.985911003
2017-05-02,1.030966399,0.996184934
2017-05-03,0.991512857,1.002401662
2017-05-04,0.995576911,0.993848346
2017-05-05,0.988813245,0.998305968
2017-05-08,0.988783657,1.001696906
2017-05-09,0.996077149,1.000618973
2017-05-10,1.031834591,1.01045092
2017-05-11,0.995737913,0.99652017
2017-05-12,0.990097745,1.003394982
2017-05-15,1.006258872,1.001127832
2017-05-16,1.00452068,1.004023432
2017-05-17,0.991031247,0.998397076
2017-05-18,0.990048309,0.99996789
2017-05-19,0.989297681,1.002665211
2017-05-22,0.999506774,1.009447558
2017-05-23,0.994506037,0.995621827
2017-05-24,1.008832286,0.998502326
2017-05-25,1.009771453,1.032168502
2017-05-26,1.005293067,1.005472591
